package_name,resource_id,title_de,format,url,media_type,issued,modified,license,has_stac,is_service
geochemischer-bodenatlas-der-schweiz-nickel,b3fe736e-9b1e-44ed-b047-8bcd3a8479f2,Map (Preview) Vorschau map.geo.admin.ch,HTML,https://map.geo.admin.ch/?layers=ch.bafu.geochemischer-bodenatlas_schweiz_nickel/items/geochemischer-bodenatlas_schweiz_nickel,text/html,2023-06-30T00:00:00,,terms_open,false,false
geochemischer-bodenatlas-der-schweiz-nickel,baf7ee3c-3ba8-4b6f-ac69-019cb4b72228,ch.bafu.geochemischer-bodenatlas_schweiz_nickel,XML,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,application/xml,2023-06-30T00:00:00,,terms_open,false,false
geochemischer-bodenatlas-der-schweiz-nickel,da0dbfde-3c05-47b3-bca3-1daf09b0b18b,ch.bafu.geochemischer-bodenatlas_schweiz_nickel,XML,https://wmts.geo.admin.ch/EPSG/3857/1.0.0/WMTSCapabilities.xml?lang=de,application/xml,2023-06-30T00:00:00,,terms_open,false,false
geochemischer-bodenatlas-der-schweiz-nickel,5872ae4f-ceee-482c-8e2c-33b22a4363d4,Map (Preview) Vorschau map.geo.admin.ch,HTML,https://map.geo.admin.ch/?layers=ch.bafu.geochemischer-bodenatlas_schweiz_nickel,text/html,2023-06-30T00:00:00,,terms_open,false,false
geochemischer-bodenatlas-der-schweiz-nickel,9a7c3f6f-7f49-429d-8cfe-4cbd424650b6,STAC Browser,OCTET,https://data.geo.admin.ch/browser/index.html#/collections/ch.bafu.geochemischer-bodenatlas_schweiz_nickel/items/geochemischer-bodenatlas_schweiz_nickel,,2023-06-30T00:00:00,,terms_open,true,false
geochemischer-bodenatlas-der-schweiz-chrom,9eea8048-4be4-4da6-bfed-9d881e35b2ed,STAC Browser,OCTET,https://data.geo.admin.ch/browser/index.html#/collections/ch.bafu.geochemischer-bodenatlas_schweiz_chrom/items/geochemischer-bodenatlas_schweiz_chrom,,2023-06-30T00:00:00,,terms_open,true,false
geochemischer-bodenatlas-der-schweiz-chrom,c94e2f33-fc3e-4f0e-aa96-49dfdcb15e5b,Map (Preview) Vorschau map.geo.admin.ch,HTML,,text/html,2023-06-30T00:00:00,,terms_open,false,false
geochemischer-bodenatlas-der-schweiz-chrom,ce68b0ed-44ff-4953-a04f-54807463dfd4,ch.bafu.geochemischer-bodenatlas_schweiz_chrom,XML,https://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de,application/xml,2023-06-30T00:00:00,,terms_open,false,false
geochemischer-bodenatlas-der-schweiz-chrom,9b3b2ad4-e69d-4aa2-89ab-e01b4dcd790e,ch.bafu.geochemischer-bodenatlas_schweiz_chrom,XML,https://wmts.geo.admin.ch/EPSG/3857/1.0.0/WMTSCapabilities.xml?lang=de,application/xml,2023-06-30T00:00:00,,terms_open,false,false
geochemischer-bodenatlas-der-schweiz-chrom,dfae6736-8139-4635-8750-e85d2fd85209,Map (Preview) Vorschau map.geo.admin.ch,HTML,https://map.geo.admin.ch/?layers=ch.bafu.geochemischer-bodenatlas_schweiz_chrom,text/html,2023-06-30T00:00:00,,terms_open,false,false
